source_id,source_name,author,title,description,url,urlToImage,publishedAt,content
business-insider,Business Insider,Dan DeFrancesco,What investors can learn from the DeepSeek tech shock,The DeepSeek saga offers investors valuable lessons on the risks that come from a market so heavily focused on one theme.,https://www.businessinsider.com/lessons-deepseek-tech-shock-investors-market-volatility-2025-2,https://i.insider.com/679de88d7bb3f854015b6d0d?width=1200&format=jpeg,2025-02-03 12:23:17+00:00,"Jakub Porzycki/NurPhoto via Getty Images
<ul><li>This post originally appeared in the Business Insider Today newsletter.</li><li>You can sign up for Business Insider's daily newsletter here.</li></u… [+7571 chars]"
,Hackaday,Donald Papp,More Details On Why DeepSeek is a Big Deal,"The DeepSeek large language models (LLM) have been making headlines lately, and for more than one reason. IEEE Spectrum has an article that sums everything up very nicely. We shared the way DeepSee…",https://hackaday.com/2025/02/03/more-details-on-why-deepseek-is-a-big-deal/,https://hackaday.com/wp-content/uploads/2022/06/ai_feat.jpg,2025-02-04 00:00:00+00:00,"The DeepSeek large language models (LLM) have been making headlines lately, and for more than one reason. IEEE Spectrum has an article that sums everything up very nicely.
We shared the way DeepSeek… [+2359 chars]"
,Gizmodo.com,Todd Feathers,SoftBank Is Betting Billions That OpenAI’s Agents Will Automate Work,It's another big swing from an investment firm that's had a lot of high-profile misses.,https://gizmodo.com/softbank-is-betting-billions-that-openais-agents-will-automate-work-2000558448,https://gizmodo.com/app/uploads/2025/02/softbank-openai-agents.jpg,2025-02-03 20:45:34+00:00,"In what could be SoftBank’s newest trick to make ungodly amounts of money disappear, the Japanese investment firm will pay $3 billion a year to force companies in its portfolio to experiment with AI … [+2274 chars]"
,Xataka.com,Juan Carlos López,"Este es uno de los secretos del éxito de DeepSeek: solo recluta talento chino y paga más de 1,3 millones de dólares",El hardware utilizado por DeepSeek para entrenar su modelo de inteligencia artificial (IA) de código abierto continúa generando desconfianza. Si nos ceñimos a la información que ha hecho pública esta compañía china la infraestructura utilizada para entrenar D…,https://www.xataka.com/robotica-e-ia/este-uno-secretos-exito-deepseek-solo-recluta-talento-chino-paga-1-3-millones-dolares,https://i.blogs.es/807891/deepseek-ap/840_560.jpeg,2025-02-03 13:30:24+00:00,El hardware utilizado por DeepSeek para entrenar su modelo de inteligencia artificial (IA) de código abierto continúa generando desconfianza. Si nos ceñimos a la información que ha hecho pública esta… [+3181 chars]
,The New Yorker,John Cassidy,Is DeepSeek China’s Sputnik Moment?,"The Chinese company’s low-cost, high-performance A.I. model has shocked Silicon Valley, and a longtime China watcher warns that the West is being leapfrogged in many other industries, too. John Cassidy writes.",https://www.newyorker.com/news/the-financial-page/is-deepseek-chinas-sputnik-moment,"https://media.newyorker.com/photos/679d146db8bd39c582c3e000/16:9/w_1280,c_limit/Cassidy-DeepSeek.jpg",2025-02-03 11:00:00+00:00,"Last week, shortly before the start of the Chinese New Year, when much of China shuts down for seven days, the state media saluted DeepSeek, a tech startup whose release of a new low-cost, high-perfo… [+9555 chars]"
,Yahoo Entertainment,South China Morning Post,"Alibaba offers DeepSeek on cloud service after Microsoft, Amazon and Huawei","Alibaba Group Holding's cloud-computing services unit on Monday made available DeepSeek's artificial intelligence (AI) models on its platform, following...",https://www.yahoo.com/tech/alibaba-offers-deepseek-cloud-microsoft-093000051.html,https://s.yimg.com/ny/api/res/1.2/gwLd9SLiWD9ub7RuVauyTQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/south_china_morning_post_us_228/9f7442d11f2f0165f6aa84328717e9b8,2025-02-03 09:30:00+00:00,"Alibaba Group Holding's cloud-computing services unit on Monday made available DeepSeek's artificial intelligence (AI) models on its platform, following moves by other Big Tech companies to bring the… [+5033 chars]"
,Xataka.com,Javier Pastor,Sam Altman admite haberse equivocado con su visión del Open Source. Y todo gracias a DeepSeek,"OpenAI anunció el lanzamiento de su nuevo modelo, llamado o3-mini, hace unos días. Ese acontecimiento se vio acompañado de una sesión AMA (Ask Me Anything) en la que varios directivos de la empresa, incluido su CEO, Sam Altman, contestó a las preguntas de los…",https://www.xataka.com/robotica-e-ia/sam-altman-admite-haberse-equivocado-su-vision-open-source-todo-gracias-a-deepseek,https://i.blogs.es/7c5fa3/deep-sam/840_560.jpeg,2025-02-03 16:30:23+00:00,"OpenAI anunció el lanzamiento de su nuevo modelo, llamado o3-mini, hace unos días. Ese acontecimiento se vio acompañado de una sesión AMA (Ask Me Anything) en la que varios directivos de la empresa, … [+2870 chars]"
,Yahoo Entertainment,,"Nvidia counters AMD DeepSeek AI benchmarks, claims RTX 4090 is nearly 50% faster than 7900 XTX",,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_00f9d3dc-11bf-4670-bad6-0b2cb69da6ce,,2025-02-03 12:12:29+00:00,"If you click 'Accept all', we and our partners, including 239 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+702 chars]"
,Yanko Design,Sarang Sheth,DeepSeek Will Teach You Bomb-Making At Home But Won’t Let You Search Tiananmen Square,DeepSeek Will Teach You Bomb-Making At Home But Won’t Let You Search Tiananmen SquareEditor’s Disclaimer: PLEASE don’t try this at home or anywhere! I’m not responsible for anything you search on DeepSeek. You’ve probably heard of DeepSeek by...,https://www.yankodesign.com/2025/02/03/deepseek-will-teach-you-bomb-making-at-home-but-wont-let-you-search-tiananmen-square/,https://www.yankodesign.com/images/design_news/2025/02/deepseek-will-teach-you-bomb-making-at-home-but-wont-let-you-search-tiananmen-square/deepseek_jailbreak_1.jpg,2025-02-04 01:30:04+00:00,"Editor’s Disclaimer: PLEASE don’t try this at home or anywhere! I’m not responsible for anything you search on DeepSeek.
You’ve probably heard of DeepSeek by now – the China-based AI app that gained… [+3598 chars]"
,heise online,Mark Mantel,DeepSeek soll V3 mit viel stärkerer Nvidia-Hardware entwickelt haben,Die Entwicklung von DeepSeek-V3 war vermutlich viel teurer als suggeriert. Die Firma soll Zugriff auf 60.000 GPUs haben.,https://www.heise.de/news/DeepSeek-V3-Entwicklung-soll-viel-teurer-gewesen-sein-10267750.html,https://heise.cloudimg.io/bound/1200x1200/q85.png-lossy-85.webp-lossy-85.foil1/_www-heise-de_/imgs/18/4/7/9/3/6/6/5/hopper-announcement-li-tw-h100-sxm-2048x1024-ab3bec325f26d5ac.jpg,2025-02-03 11:55:00+00:00,"DeepSeek soll Zugriff auf Zehntausende GPU-Beschleuniger zur Entwicklung der eigenen KI-Modelle haben, darunter auch H100-GPUs, die unter die US-Exportverbote fallen. Die kolportierten Kosten von kna… [+3529 chars]"
,Gizmodo.jp,Kenji P. Miyajima,世界各国でDeepSeekを警戒する動き。個人情報の扱いには要注意です,Image:Image:Poetra.RH/Shutterstock個人情報は正々堂々と抜かなきゃだめってことでいいですか…。中国のAI企業DeepSeekが、社名を冠したDeepSeek-R1モデルを発表してから1週間ちょっと。アメリカの巨大競合他社よりも低コストで高性能のAIがきたと話題をかっさらっていますが、どうも規制を受けそうな雰囲気が漂ってきましたよ。世界各国がDeepSeekの個人情報,https://www.gizmodo.jp/2025/02/the-international-deepseek-crackdown-is-underway.html,https://media.loom-app.com/gizmodo/dist/images/2025/02/03/shutterstock_2578038123_.jpg?w=1280&h=630&f=jpg,2025-02-03 10:30:00+00:00,"AIDeepSeekDeepSeek-R11AI
DeepSeek
The Wall Street Journal130DeepSeek
ChatGPTDeepSeek2DeepSeekDeepSeek
DeepSeek
DeepSeek
CNILEU
DeepSeek
DeepSeekAINVIDIA
NVIDIACEO27()D.C.DeepSeek
DeepSeek
… [+38 chars]"
,9to5Mac,Ben Lovejoy,DeepSeek will help you make a bomb and hack government databases,"Tests by security researchers revealed that DeepSeek failed literally every single safeguard requirement for a generative AI system, being fooled by even the most basic of jailbreak techniques.



This means that it can trivially be tricked into answering que…",https://9to5mac.com/2025/02/03/deepseek-will-help-you-make-a-bomb-and-hack-government-databases/,https://i0.wp.com/9to5mac.com/wp-content/uploads/sites/6/2025/02/DeepSeek-will-help-you-make-a-bomb-and-hack-government-databases.jpg?resize=1200%2C628&quality=82&strip=all&ssl=1,2025-02-03 12:35:53+00:00,"Tests by security researchers revealed that DeepSeek failed literally every single safeguard requirement for a generative AI system, being fooled by even the most basic of jailbreak techniques.
This… [+3676 chars]"
