source_id,source_name,author,title,description,url,urlToImage,publishedAt,content
business-insider,Business Insider,Jane Zhang,I'm an AI startup founder. Here are the 3 reasons my company is planning to switch to DeepSeek.,"Steve Hsu, founder of AI startup SuperFocus, shares the three reasons he plans to switch to DeepSeek from closed-source models like OpenAI.",https://www.businessinsider.com/ai-startup-founder-3-reasons-to-switch-to-deepseek-2025-1,https://i.insider.com/679d34ab7bb3f854015b6381?width=1200&format=jpeg,2025-02-02 08:45:01+00:00,"Steve Hsu (not pictured) says his AI startup, SuperFocus, plans to use open-source models such as DeepSeek. picture alliance/dpa/ Getty Images
<ul><li>Steve Hsu, cofounder of AI startup SuperFocus, … [+6717 chars]"
,Xataka.com,Yúbal Fernández,Guía DeepSeek: 36 funciones y cosas que puedes hacer gratis con esta inteligencia artificial,"Te traemos una guía en la que repasamos todo lo que puedes hacer con DeepSeek, el chatbot de inteligencia artificial de código abierto. No es el que más funciones tiene, pero sí que es uno sorprendentemente potente que puede convertirse en una alternativa muy…",https://www.xataka.com/basics/guia-deepseek-36-funciones-cosas-que-puedes-hacer-gratis-esta-inteligencia-artificial,https://i.blogs.es/000a37/deepseek/840_560.jpeg,2025-02-02 13:01:58+00:00,"Te traemos una guía en la que repasamos todo lo que puedes hacer con DeepSeek, el chatbot de inteligencia artificial de código abierto. No es el que más funciones tiene, pero sí que es uno sorprenden… [+19651 chars]"
business-insider,Business Insider,Tim Paradis,Cheap AI could be good for workers,Low-cost AI could let more workers access the technology. That could boost productivity even as concerns remain about bots replacing humans.,https://www.businessinsider.com/lower-cost-ai-deepseek-good-for-workers-productivity-boost-2025-1,https://i.insider.com/679d3b737bb3f854015b657d?width=1200&format=jpeg,2025-02-02 09:23:02+00:00,"As costs fall for artificial intelligence tools, more workers could gain access to the technology.Tricia Goh
<ul><li>Lower-cost AI tools could reshape jobs by giving more workers access to the techn… [+5385 chars]"
,Genbeta.com,Eva Rodriguez de Luis,"DeepSeek en local era justo lo que buscaba: una inteligencia artificial de calidad, privada y sin suscripciones","Cuando pensaba que entre ChatGPT y Microsoft Copilot ya tenía mi apaño hecho para usar inteligencia artificial gratis en mi día a día, va a y llega DeepSeek para cambiarlo todo: llevo una semana usándola y tengo claro que, salvo hecatombe o gran revolución po…",https://www.genbeta.com/a-fondo/deepseek-local-era-justo-que-buscaba-inteligencia-artificial-calidad-privada-suscripciones,https://i.blogs.es/f480b4/deeeeep/840_560.jpeg,2025-02-02 17:01:57+00:00,"Cuando pensaba que entre ChatGPT y Microsoft Copilot ya tenía mi apaño hecho para usar inteligencia artificial gratis en mi día a día, va a y llega DeepSeek para cambiarlo todo: llevo una semana usán… [+4168 chars]"
,Slashdot.org,EditorDavid,OpenAI Makes Surprise Livestream Today for 'Deep Research' Announcement,"Just three hours ago, OpenAI made a surprise announcement to their 3.9 million followers on X.com. ""Live from Tokyo,"" they'd be livestreaming... something. Their description of the event was just two words. 

""Deep Research"" 

It begins in just 15 minutes. 

…",https://slashdot.org/story/25/02/02/2342245/openai-makes-surprise-livestream-today-for-deep-research-announcement,https://a.fsdn.com/sd/topics/ai_64.png,2025-02-02 23:44:00+00:00,"Just three hours ago, OpenAI made a surprise announcement to their 3.9 million followers on X.com. ""Live from Tokyo,"" they'd be livestreaming... something. Their description of the event was just two… [+2709 chars]"
,Habr.com,che1nov,Сравнение кода DeepSeek и ChatGPT(Golang),"Весь этот шум заставил меня заинтресоваться DeepSeek. Самое банально сравнить с ChatGPT. Ну и плюсом у меня сегодня выходной, можно и поиграть немного. Игры пусть будут на Go. Модели GPT-o1 и Deepseek-R1. Заданием для нейронок будет написать две игры. Эти две…",https://habr.com/ru/articles/878766/#post-content-body,https://habrastorage.org/getpro/habr/upload_files/a42/100/a7c/a42100a7c6e8f821f61d4d8441633917.png,2025-02-02 11:17:36+00:00,"DeepSeek. ChatGPT. , , . Go. GPT-o1 Deepseek-R1. 
 . , , Go. 
 1: ""-"" Go
:Go. ""-"". 2 . W () S (), (/). / .
 ChatGPT
package main
import (
""time""
""github.com/nsf/termbox-go""
)
// 
const (
… [+9832 chars]"
,Habr.com,Philistine1917,Отечественные процессоры: почему DeepSeek видит в этом тупик (и где нашёл выход),"Главная задача экономики заключается в создании товаров, которые экономят время потребителя и обеспечивают качество, превосходящее результаты его самостоятельного производства. Однако ценность таких товаров нивелируется, если их использование требует дополнит…",https://habr.com/ru/articles/878752/#post-content-body,https://habr.com/share/publication/878752/a7e1f3b6d124c8bb17473c89dc880db2/,2025-02-02 10:28:58+00:00,", , . , : , , .
 (« »). , . (, - ), .
 , . , , , , . : , . , , , , . , , .
 , , : , . , , , , . , , .
 . , « » , . :
1.      , PR-, .
2.      , , , «» (, ).
3.      , , .
4.      , (, ).
 . … [+226 chars]"
business-insider,Business Insider,Jamie Heller,Tech execs send signals about where their companies are headed,"In this Sunday edition of Business Insider Today, we're taking you through all the major changes Big Tech companies made to the workplace this week.",https://www.businessinsider.com/bi-today-big-tech-companies-major-changes-2025-2,https://i.insider.com/67327b635ec9bfa3d63d649c?width=1200&format=jpeg,2025-02-02 11:38:01+00:00,"Ranta Images/Getty, Tyler Le/BI
<ul><li>This post originally appeared in the BI Today newsletter.</li><li>You can sign up for Business Insider's daily newsletter here.</li></ul>Welcome back to our S… [+6685 chars]"
business-insider,Business Insider,fdemott@businessinsider.com (Filip De Mott),There's a silver lining for markets as investors recover from a sharp tech sell-off,"Software stocks look set to benefit from the DeepSeek implications, as cheaper AI could boost revenue momentum this year.",https://markets.businessinsider.com/news/stocks/software-stocks-ai-investing-deepseek-selloff-broadening-rotation-magnificent-seven-2025-1,https://i.insider.com/679d2e677bb3f854015b61c0?width=1200&format=jpeg,2025-02-02 13:00:01+00:00,"The market chaos that battered the most dominant tech stocks on Monday may have been a welcome event for other corners of the market.
Although China's DeepSeek AI app initially crushed investor conf… [+4718 chars]"
,Tomshw.it,Andrea Maiellano,"DeepSeek supera ChatGPT anche in termini di ""crescita lampo""","La startup cinese DeepSeek, finita sulla bocca di tutti nelle scorse settimane, ha visto raddoppiare gli utenti del suo modello di intelligenza artificiale R1 in soli due giorni, raggiungendo 12 milio...",https://www.tomshw.it/hardware/deepseek-supera-chatgpt-in-crescita-lampo-2025-02-02,https://www.tomshw.it/storage/media/2025/01/47626/DeepSeek-Cover-1.webp,2025-02-02 13:04:26+00:00,"La startup cinese DeepSeek, finita sulla bocca di tutti nelle scorse settimane, ha visto raddoppiare gli utenti del suo modello di intelligenza artificiale R1 in soli due giorni, raggiungendo 12 mili… [+2146 chars]"
