Unnamed: 0,source_id,source_name,author,title,description,url,urlToImage,publishedAt,content
0,,Gizmodo.com,Kyle Barr,"OpenAI’s GPT-4.5 May Arrive Next Week, but GPT-5 Is Just Around the Corner","The next landmark version of OpenAI's ChatGPT could use GPT-5, but don't start assuming this will have any semblance of ""AGI.""",https://gizmodo.com/openais-gpt-4-5-may-arrive-next-week-but-gpt-5-is-just-around-the-corner-2000566442,https://gizmodo.com/app/uploads/2024/05/72304a9885903a2bfcba79ca40608c30-e1740080089739.jpg,2025-02-20 20:06:06+00:00,"OpenAI may be preparing to slap a new coat of paint on ChatGPT with an updated AI model, GPT-4.5, as early as next week. If that’s not enough to get users excited, the Sam Altman-led company is on th… [+3418 chars]"
1,business-insider,Business Insider,Riddhi Kanetkar,Mistral's CEO Arthur Mensch tells BI that DeepSeek is a win for the open-source ecosystem,"Arthur Mensch told Business Insider that DeepSeek was the ""Mistral of China,"" with its new R1 models a ""great moment for open source.""",https://www.businessinsider.com/mistral-ceo-deepseek-open-source-ai-2025-2,https://i.insider.com/67ae28287bb3f854015ccd8e?width=1200&format=jpeg,2025-02-16 10:00:02+00:00,"Mistral CEO Arthur Mensch.AURELIEN MORISSARD/POOL/AFP via Getty Images
<ul><li>Mistral's CEO, Arthur Mensch, told BI that DeepSeek is a ""great moment for open-source models."" </li><li> Mistral, a Pa… [+3975 chars]"
2,,Slashdot.org,EditorDavid,Ask Slashdot: What Would It Take For You to Trust an AI?,"Long-time Slashdot reader shanen has been testing AI clients. (They report that China's DeepSeek ""turned out to be extremely good at explaining why I should not trust it. Every computer security problem I ever thought of or heard about and some more besides.""…",https://ask.slashdot.org/story/25/02/15/2047258/ask-slashdot-what-would-it-take-for-you-to-trust-an-ai,https://a.fsdn.com/sd/topics/ai_64.png,2025-02-16 02:34:00+00:00,"Long-time Slashdot reader shanen has been testing AI clients. (They report that China's DeepSeek ""turned out to be extremely good at explaining why I should not trust it. Every computer security prob… [+1638 chars]"
3,wired,Wired,Steven Levy,Mira Murati Launches Thinking Machines Lab to Make AI More Accessible,"After leaving OpenAI last year, Mira Murati is finally ready to share what she's working on.",https://www.wired.com/story/mira-murati-thinking-machines-lab/,"https://media.wired.com/photos/67ad76e665d45bbd6c0a9c51/191:100/w_1280,c_limit/Bis_Mira_GettyImages-2188124121.jpg",2025-02-18 18:30:00+00:00,"Last September Mira Murati unexpectedly left her job as chief technology officer of OpenAI, saying, I want to create the time and space to do my own exploration. The rumor in Silicon Valley was that … [+3062 chars]"
4,,VentureBeat,Michael Nuñez,"OpenAI’s ChatGPT explodes to 400M weekly users, with GPT-5 on the way","OpenAI's ChatGPT reaches 400M weekly users and doubles enterprise adoption to 2M+ users, signaling major AI shift as company prepares GPT-5 launch amid growing competition from DeepSeek and xAI.",https://venturebeat.com/ai/openai-chatgpt-explodes-to-400m-weekly-users-with-gpt-5-on-the-way/,https://venturebeat.com/wp-content/uploads/2025/02/nuneybits_Vector_art_of_global_domination_computer_code_globe_m_731d1393-908d-4c41-a2f1-237776dea49d.webp?w=1024?w=1200&strip=all,2025-02-20 18:47:16+00:00,"Join our daily and weekly newsletters for the latest updates and exclusive content on industry-leading AI coverage. Learn More
OpenAIs ChatGPT has surpassed 400 million weekly active users, a milest… [+6322 chars]"
5,,Substack.com,Babbage,Back to the Future with Gordon Moore,An antidote to DeepSeek induced worry!,https://thechipletter.substack.com/p/back-to-the-future-with-gordon-moore,"https://substackcdn.com/image/fetch/w_1200,h_600,c_fill,f_jpg,q_auto:good,fl_progressive:steep,g_auto/https%3A%2F%2Fsubstack-post-media.s3.amazonaws.com%2Fpublic%2Fimages%2F10c5991c-790b-41a6-bdfe-2bf189fdfa7c_2048x1365.jpeg",2025-02-15 18:59:52+00:00,"The more things change the more they stay the same (Anon)
Sometimes the whole world can change in a weekend. It certainly seems that way today as the most recent DeepSeek models have apparently upen… [+8066 chars]"
6,,Android Police,Faith Leroux,Is DeepSeek AI safe?,Are you willing to let your data pay the price of using this powerful and free AI model? Here's what you need to know before paying,https://www.androidpolice.com/deepseek-ai-is-it-safe/,https://static1.anpoimages.com/wordpress/wp-content/uploads/wm/2025/01/deepseek-ai-hero.jpg,2025-02-18 13:28:25+00:00,"The AI space is continually seeing developments. Only a week after DeepSeek's worldwide app release, it has become the most downloaded free app in the US. That's both impressive but terrifying at the… [+8338 chars]"
7,,9to5Mac,Filipe Espósito,DeepSeek to be removed from App Store in South Korea due to local ban,"Bad news for DeepSeek users in South Korea. The country’s regulator announced on Monday that the Chinese AI app is now banned in South Korea under allegations that it fails to comply with local data protection laws. As a result, both Apple and Google will hav…",https://9to5mac.com/2025/02/17/deepseek-ban-south-korea/,https://i0.wp.com/9to5mac.com/wp-content/uploads/sites/6/2025/01/DeepSeek-privacy-under-investigation-in-US-and-Europe.jpg?resize=1200%2C628&quality=82&strip=all&ssl=1,2025-02-17 23:22:59+00:00,Bad news for DeepSeek users in South Korea. The country’s regulator announced on Monday that the Chinese AI app is now banned in South Korea under allegations that it fails to comply with local data … [+1756 chars]
8,,Digital Trends,Willow Roberts,It looks like Claude is getting an “extended thinking” feature,"Screenshots of the Claude mobile app have been leaked on X, showing a new ""extended thinking"" feature and a web search tool.",https://www.digitaltrends.com/computing/claude-getting-extended-thinking-feature/,https://www.digitaltrends.com/wp-content/uploads/2024/06/claudetop.webp?resize=1200%2C630&p=1,2025-02-19 14:59:44+00:00,"Screenshots from AI leaker CHOI have dropped on X today, showing a new “extended thinking” toggle and a web search tool on the Claude mobile app. There’s no information yet about how these features w… [+2452 chars]"
9,,Digital Trends,Fionna Agomuoh,"Elon Musk says Grok 3 will outperform ChatGPT, DeepSeek in the coming weeks","Elon Musk has confirmed that his AI chatbot, Grok 3 is currently being finalized and will soon be available.",https://www.digitaltrends.com/computing/elon-musk-says-grok-3-will-outperform-chatgpt-deepseek-in-the-coming-weeks/,https://www.digitaltrends.com/wp-content/uploads/2025/01/grok-for-iphone.jpeg?resize=1200%2C630&p=1,2025-02-13 18:46:11+00:00,"Elon Musk has confirmed that his AI chatbot, Grok 3 is currently being finalized and will be available in the next one to two weeks, according to Reuters.
Speaking in a video call addressing the Wor… [+2788 chars]"
