,source_id,source_name,author,title,description,url,urlToImage,publishedAt,content
0,,Yahoo Entertainment,Steve Dent,China’s DeepSeek AI assistant becomes top free iPhone app as US tech stocks take a hit,"Chinese AI assistant DeepSeek has become the top rated free app on Apple's App Store in the US and elsewhere, beating out ChatGPT and other rivals. It's powered by the open-source DeepSeek V3 model, which reportedly requires far less computing power than comp…",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_77718621-45d9-4bdb-8512-cebc2edfb974,,2025-01-27 13:44:45+00:00,"If you click 'Accept all', we and our partners, including 239 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+703 chars]"
1,,BBC News,,Is China's AI tool DeepSeek as good as it seems?,The artificial intelligence (AI) tool has shocked US markets after bursting onto the scene.,https://www.bbc.com/news/articles/cx2jxvn0r51o,https://ichef.bbci.co.uk/news/1024/branded_news/f331/live/2b4d01b0-dcd0-11ef-a37f-eba91255dc3d.jpg,2025-01-27 20:11:50+00:00,"DeepSeek, a Chinese AI-chatbot app which launched last week, has sparked chaos in the US markets and raised questions about the future of America's AI dominance. The BBC takes a look at how the app w… [+3590 chars]"
2,,Gizmodo.com,Lucas Ropek,DeepSeek Releases Open-Source AI Image Generator as American Stocks Continue to Crater,Silicon Valley's Chinese competitor has released another free AI model.,https://gizmodo.com/deepseek-releases-open-source-ai-image-generator-as-american-stocks-continue-to-crater-2000555311,https://gizmodo.com/app/uploads/2025/01/DeepSeek-iPhone-App.jpg,2025-01-27 21:40:47+00:00,"DeepSeek, the Chinese startup that has managed to make a mockery of Silicon Valley’s capital-bloated AI oligarchy, has done it again. On Monday morning, the company announced the release of yet anoth… [+2751 chars]"
3,,Android Central,bradypsnyder@gmail.com (Brady Snyder),Data Protection Day is a great day to stop using DeepSeek,"DeepSeek's new AI models have taken the world by storm. But on Data Protection Day, it's a good reminder to know what you're getting into before using a new service.",https://www.androidcentral.com/apps-software/data-protection-day-is-a-great-day-to-stop-using-deepseek,https://cdn.mos.cms.futurecdn.net/NYR57UzpFC38BEPCRN3664-1200-80.jpg,2025-01-28 17:41:36+00:00,"Data Protection Day is today, Jan. 28, 2025, and it's a world event intended to help people remember to follow the best practices for data privacy and security. It's only a coincidence that DeepSeek,… [+5613 chars]"
4,,Android Central,harish.jonnalagadda@futurenet.com (Harish Jonnalagadda),DeepSeek already had a $1 trillion impact — and it's just getting started,DeepSeek is showing the world that the latest AI innovations can be used by everyone.,https://www.androidcentral.com/apps-software/deepseek-already-had-a-usd1-trillion-impact-and-its-just-getting-started,https://cdn.mos.cms.futurecdn.net/ceAoG3XT8se7J2XpBifvz3-1200-80.jpg,2025-01-28 15:36:09+00:00,"The tech world is collectively losing its mind over DeepSeek, and for good reason. The Chinese startup burst into the limelight back in December after debuting the R1, a model that uses self-checking… [+3692 chars]"
5,,Android Central,techkritiko@gmail.com (Jay Bonggolto),DeepSeek AI is crushing the competition and triggering an AI stock bloodbath,"China's DeepSeek is leaving Big Tech in the dust, nailing technical tasks while keeping costs way lower.",https://www.androidcentral.com/apps-software/deepseek-ai-is-crushing-the-competition-and-triggering-an-ai-stock-bloodbath,https://cdn.mos.cms.futurecdn.net/Qp68TBCXdkbxwUXJZKvSET-1200-80.jpg,2025-01-28 14:11:14+00:00,"What you need to know
<ul><li>DeepSeek, a Chinese AI startup, is shaking up the tech world by outperforming Big Tech’s models with fewer resources and lower costs.</li><li>Its latest AI launch cause… [+2358 chars]"
6,business-insider,Business Insider,Jyoti Mann,DeepSeek just dropped an update AI model called Janus Pro. It says the image generator is better than OpenAI's DALL-E.,DeepSeek says its updated text-to-image generator Janus pro-7B outperforms OpenAI's DALL-E 3  across multiple benchmarks.,https://www.businessinsider.com/deepseek-janus-pro-7b-ai-model-openai-dall-e3-2025-1,https://i.insider.com/6797c5d0eb4be2fff9a23df6?width=1200&format=jpeg,2025-01-27 18:13:18+00:00,"DeepSeek's AI app topped Apple's free apps rankingGetty Images/picture alliance/dpa/
<ul><li>DeepSeek releases updated AI model Janus-Pro, outperforming rivals in benchmarks.</li><li>The latest vers… [+1228 chars]"
7,business-insider,Business Insider,"Katherine Li,Katherine Tangalakis-Lippert,Kelsey Vlamis",Trump says DeepSeek should be a 'wake-up call' for tech giants,"President Donald Trump said the rise of Chinese AI app DeepSeek is a ""positive"" development.",https://www.businessinsider.com/trump-deepseek-wakeup-call-ai-tech-giants-2025-1,https://i.insider.com/67982c6a196626c40985391a?width=1200&format=jpeg,2025-01-28 01:26:02+00:00,"U.S. President Donald Trump speaks at a House Republican members conference meeting in MiamiElizabeth Frantz/REUTERS
<ul><li>President Donald Trump addressed the rise of DeepSeek, a Chinese AI app, … [+3099 chars]"
8,business-insider,Business Insider,"Steven Tweedie,Ana Altchek","DeepSeek temporarily limits new registrations to only China phone numbers, citing 'large-scale malicious attacks'","The Chinese AI company DeepSeek cited recent ""large-scale malicious attacks"" for the temporary registration limits.",https://www.businessinsider.com/deepseek-issues-account-registration-limited-china-phone-numbers-malicious-attack-2025-1,https://i.insider.com/6797b1e2eb4be2fff9a2388d?width=1200&format=jpeg,2025-01-27 16:20:14+00:00,"DeepSeek limited who could sign up for its service as the popular Chinese AI app encountered issues on Monday morning.
The app, which is currently the top free app on Apple's App Store, said that on… [+1055 chars]"
9,business-insider,Business Insider,pthompson@insider.com (Polly Thompson),Nvidia tumbles and tech stocks slide premarket as China's DeepSeek spooks AI investors,DeepSeek topped the Apple AppStore chart and sparked fears the Chinese company is quickly catching up with OpenAI's ChatGPT while costing far less.,https://markets.businessinsider.com/news/stocks/nvidia-tech-stocks-deepseek-ai-race-nasdaq-2025-1,https://i.insider.com/6797599f7bb3f854015a6e01?width=1200&format=jpeg,2025-01-27 10:51:59+00:00,"Global tech stocks took a battering on Monday after an unexpected launch by Chinese artificial intelligence startup DeepSeek spooked AI investors.
In the US, Nasdaq 100 futures were down 3.3%, and c… [+1438 chars]"
10,,CNET,Imad Khan,"DeepSeek Turned the AI World on Its Head, but Don't Fall For The Hype Just Yet","DeepSeek AI is a new open source AI model out of China that claims to be outperforming OpenAI, Google and Meta.",https://www.cnet.com/tech/services-and-software/deepseek-turned-the-ai-world-on-its-head-but-dont-fall-for-the-hype-just-yet/,https://www.cnet.com/a/img/resize/b6bf785456ae08e8613ee03a4ef88ed0320708f6/hub/2025/01/28/1857aa7b-11c6-4310-9231-3dabb39d16df/deepseek-ai-deep-seek-app-8685.jpg?auto=webp&fit=crop&height=675&width=1200,2025-01-28 19:44:10+00:00,"AI just had its Sputnik moment. 
Entrepreneur Marc Andreessen made that bold claim on X, the social media platform formerly known as Twitter, this past Sunday. Silicon Valley, along with the stock m… [+7043 chars]"
11,business-insider,Business Insider,"Kelsey Vlamis,Katherine Tangalakis-Lippert",How the US may have unintentionally helped create an AI monster in China,The US tried to limit China's AI advancements with chip restrictions. It may have fueled the innovation behind DeepSeek instead.,https://www.businessinsider.com/china-deepseek-chip-restrictions-exports-imports-2025-1,https://i.insider.com/67983dd37bb3f854015a96f5?width=1200&format=jpeg,2025-01-28 03:56:53+00:00,"DeepSeek's powerful AI models came despite US sanctions that limited semiconductor accessibility in China.Illustration by Justin Sullivan/Getty Images
<ul><li>The US tried to limit China's AI advanc… [+4447 chars]"
12,business-insider,Business Insider,Tom Carter,"DeepSeek vs. ChatGPT: I tried the hot new AI model. It was impressive, but there were some things it wouldn't talk about.",This is how DeepSeek compares to ChatGPT as China disrupts the AI arms race and sends markets into turmoil.,https://www.businessinsider.com/deepseek-vs-chatgpt-ai-chatbot-comparison-openai-2025-1,https://i.insider.com/6797ec867bb3f854015a8610?width=1200&format=jpeg,2025-01-27 21:01:02+00:00,"DeepSeek's new AI model has raced to the top of Apple's App Store and stunned the tech industry.Anadolu/ Getty Images
<ul><li>DeepSeek, an AI lab from China, is the latest challenger to the likes of… [+5057 chars]"
13,business-insider,Business Insider,Alistair Barr,Chinese AI lab DeepSeek massively undercuts OpenAI on pricing,"DeepSeek challenges OpenAI with drastically cheaper models, prompting discussions on the viability of proprietary versus open-source AI efforts.",https://www.businessinsider.com/chinese-ai-lab-deepseek-massively-undercuts-openai-on-pricing-2025-1,https://i.insider.com/6797168feb4be2fff9a22f05?width=1200&format=jpeg,2025-01-27 07:01:36+00:00,"DeepSeek's pricing is much lower than that of OpenAI.VCG/VCG via Getty Images
<ul><li>DeepSeek has rolled out AI models that are a lot cheaper than OpenAI's offerings.</li><li>AI models are mostly t… [+2538 chars]"
14,business-insider,Business Insider,hchowdhury@insider.com (Hasan Chowdhury),Intel's former CEO says the market is getting DeepSeek wrong after AI chip stock rout,"The retired chip CEO claimed ""the markets are getting it wrong"" on Monday after investors triggered a sell-off in response to China's DeepSeek.",https://www.businessinsider.com/intel-pat-gelsinger-deepseek-market-wrong-nvidia-2025-1,https://i.insider.com/6797c86f7bb3f854015a7c73?width=1200&format=jpeg,2025-01-27 18:38:48+00:00,"Former Intel CEO Pat Gelsigner has said that ""the markets are getting it wrong"" after investors drove a panic sell-off in top AI stocks in response to concerns that DeepSeek would weaken demand for a… [+2172 chars]"
15,,NPR,Maria Aspan,U.S. stock markets tumble as investors worry about DeepSeek,The Chinese A.I. company may be about to burst Silicon Valley's bubble.,https://www.npr.org/2025/01/27/nx-s1-5276097/wall-street-stock-markets-tumble-deepseek-ai-tech-stock,https://npr.brightspotcdn.com/dims3/default/strip/false/crop/5337x3002+0+118/resize/1400/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2F4a%2F14%2F18db4dcf4238b62006883cfe8121%2Fgettyimages-2195596223.jpg,2025-01-27 16:43:15+00:00,"China may be about to burst Silicon Valley's A.I. bubble
 and Wall Street is freaking out.
U.S. tech stocks plunged on Monday, amid a wider market selloff. The culprit: DeepSeek, a Chinese artifici… [+1252 chars]"
16,business-insider,Business Insider,"Emma Cosgrove,Pranav Dixit,Jyoti Mann,Hugh Langley",The tech industry is in a frenzy over DeepSeek. Here's who could win and lose from China's big AI win.,DeepSeek's ability to build powerful models more efficiently has put a giant question mark over the US tech industry's approach to AI,https://www.businessinsider.com/silicon-valley-reacts-deepseek-chinese-ai-upending-tech-2025-1,https://i.insider.com/679805b07bb3f854015a9450?width=1200&format=jpeg,2025-01-28 00:52:46+00:00,"DeepSeek, a Chinese company with AI models that compete with OpenAI's at a fraction of the cost, is generating almost as many takes as tokens.
Across Silicon Valley, executives, investors, and emplo… [+9563 chars]"
17,the-verge,The Verge,Richard Lawler,Trump says he’ll put tariffs on imported chips ‘in the near future’,"Donald Trump said tariffs on foreign computer chips are coming soon, and said he views’ DeepSeek’s cheaper AI models potentially as a positive.",https://www.theverge.com/2025/1/27/24353388/trump-tariffs-chips-act-ai-deepseek,https://cdn.vox-cdn.com/thumbor/-1KPbDGO21RXkuP_R5neTea9IIY=/0x0:2040x1360/1200x628/filters:focal(1020x680:1021x681)/cdn.vox-cdn.com/uploads/chorus_asset/file/25762139/STKS488_TARIFFS_CVirginia_D.jpg,2025-01-28 01:38:53+00:00,"Trump says hell put tariffs on imported chips in the near future
Trump says hell put tariffs on imported chips in the near future
 / Calling Bidens CHIPS Act incentives ridiculous, he claimed compa… [+2011 chars]"
18,business-insider,Business Insider,Sarah Jackson,"Meet Liang Wenfeng, the hedge fund manager behind Chinese AI startup DeepSeek","Liang Wenfeng is the founder of DeepSeek, the Chinese AI startup potentially upending the industry. Here's everything to know about the hedge funder.",https://www.businessinsider.com/who-is-deepseek-founder-liang-wenfeng,https://i.insider.com/6797eb627bb3f854015a85af?width=1200&format=jpeg,2025-01-27 21:19:30+00:00,"The explosive launch of DeepSeek's R1 AI model has sparked a sell-off of US tech stocks.Justin Sullivan/Getty Images
<ul><li>If you follow AI news, you've probably heard of DeepSeek.</li><li>The Chi… [+3601 chars]"
19,,Hipertextual,Luis Miranda,"¿Mejor que DeepSeek? Alibaba presenta Qwen2.5-Max, su poderosa IA","DeepSeek está robándose la atención de todos los entusiastas de la inteligencia artificial. El nuevo modelo desarrollado en China ha dejado en ridículo a competidores como OpenAI o Google y se perfila como un nuevo titán en la industria. Curiosamente, la empr…",http://hipertextual.com/2025/01/deepseek-alibaba-qwen2-5-max-poderosa-ia-china,https://i0.wp.com/imgs.hipertextual.com/wp-content/uploads/2025/01/qwen-25-max-deepseek.jpg?fit=1900%2C1069&quality=70&strip=all&ssl=1,2025-01-28 20:02:00+00:00,DeepSeek está robándose la atención de todos los entusiastas de la inteligencia artificial. El nuevo modelo desarrollado en China ha dejado en ridículo a competidores como OpenAI o Google y se perfil… [+3758 chars]
20,,VentureBeat,Carl Franzen,"Calm down: DeepSeek-R1 is great, but ChatGPT’s product advantage is far from over","For now, ChatGPT remains the better-rounded and more capable product, offering a suite of features that DeepSeek simply cannot match.",https://venturebeat.com/ai/calm-down-deepseek-r1-is-great-but-chatgpts-product-advantage-is-far-from-over/,https://venturebeat.com/wp-content/uploads/2025/01/robot-drinking-scotch.png?w=1024?w=1200&strip=all,2025-01-27 19:24:15+00:00,"Join our daily and weekly newsletters for the latest updates and exclusive content on industry-leading AI coverage. Learn More
Just a week ago on January 20, 2025 Chinese AI startup DeepSeek unleash… [+8137 chars]"
21,,Hipertextual,Luis Miranda,DeepSeek vs. ChatGPT: ¿cuál es mejor?,"DeepSeek es la nueva IA de moda que llega a competir contra OpenAI, Google y otras empresas tecnológicas. Si bien la atención se ha centrado en su entrenamiento y la arquitectura que requiere menos poder de procesamiento, muchos usuarios se preguntan qué pued…",http://hipertextual.com/2025/01/deepseek-vs-chatgpt-cual-es-mejor-ia,https://i0.wp.com/imgs.hipertextual.com/wp-content/uploads/2025/01/chatgpt-vs-deepseek.jpg?fit=1920%2C1080&quality=70&strip=all&ssl=1,2025-01-27 21:30:00+00:00,"DeepSeek es la nueva IA de moda que llega a competir contra OpenAI, Google y otras empresas tecnológicas. Si bien la atención se ha centrado en su entrenamiento y la arquitectura que requiere menos p… [+5548 chars]"
22,,CNET,Samantha Kelly,DeepSeek Strikes Again With AI Image Generator Janus-Pro,That was fast. The Chinese startup's latest AI model takes on image generation.,https://www.cnet.com/tech/services-and-software/deepseek-strikes-again-with-ai-image-generator-janus-pro/,https://www.cnet.com/a/img/resize/1b64d9d9f50d328e083ed855a9094a163444a55d/hub/2025/01/28/998df23b-135e-421d-954b-258e8e1548a3/gettyimages-1315665289.jpg?auto=webp&fit=crop&height=675&width=1200,2025-01-28 15:32:00+00:00,"Fresh off the viral success of its new AI model over the weekend, DeepSeek is already back with another launch – this time focusing on AI image generation.
The Chinese startup has released an image-… [+2057 chars]"
23,business-insider,Business Insider,Alistair Barr,This DeepSeek demo shows how good the Chinese AI model is at math and reasoning,DeepSeek models match or beat some of Silicon Valley's top offerings. BI put the Chinese contender through its paces with a challenging math problem.,https://www.businessinsider.com/deepseek-demo-chinese-ai-model-math-reasoning-2025-1,https://i.insider.com/679711efeb4be2fff9a22eef?width=1200&format=jpeg,2025-01-27 15:22:35+00:00,"The DeepSeek app is shown on a smartphone in Suqian, Jiangsu, China.CFOTO/Future Publishing via Getty Images
<ul><li>DeepSeek's AI models rival top Silicon Valley offerings, excelling in some comple… [+3021 chars]"
24,business-insider,Business Insider,Hasan Chowdhury,"Investors worry DeepSeek reduces AI chip demand, but there's a case for remaining bullish on Nvidia",China's DeepSeek has panicked investors in top AI stocks after it said its new model was built with less computing power than would be expected.,https://www.businessinsider.com/deepseek-compute-jevons-paradox-demand-market-ai-stocks-nvidia-chatgpt-2025-1,https://i.insider.com/6797b6b9eb4be2fff9a23acd?width=1200&format=jpeg,2025-01-28 08:00:02+00:00,"DeepSeek released a model last week that challenged OpenAI's offering at a lower price.Getty Images
<ul><li>Chinese startup DeepSeek triggered panic among investors in top AI companies like Nvidia.<… [+5535 chars]"
